sha256,count,locations,splits,classes
9f6a730d3e941b95577919c7762465db93bf43bd2ec5eac28e46870feffc264b,2,chest_xray\train\PNEUMONIA\person162_virus_321.jpeg;chest_xray\train\PNEUMONIA\person162_virus_322.jpeg,train,PNEUMONIA
a0bb88fd5d30acda3316391659ac8d9a8170c668410668f4401b8bc9ce6eff5e,2,chest_xray\train\PNEUMONIA\person834_bacteria_2747.jpeg;chest_xray\train\PNEUMONIA\person834_bacteria_2748.jpeg,train,PNEUMONIA
baaa29769ca5561e23c4f9e86267ec7a5cea6594ea998a766268efe49d0e7679,2,chest_xray\train\PNEUMONIA\person264_bacteria_1230.jpeg;chest_xray\train\PNEUMONIA\person264_bacteria_1231.jpeg,train,PNEUMONIA
bdcb46c2b61f0657d30ea07e422481e7c7b713f7d622ee99bac31a0e3aa1cdd7,2,chest_xray\train\PNEUMONIA\person357_virus_734.jpeg;chest_xray\train\PNEUMONIA\person357_virus_735.jpeg,train,PNEUMONIA
ca083e6fbd862caec218a0686248c3c501b08c21eebb571a629769174edc54c0,2,chest_xray\train\PNEUMONIA\person1349_bacteria_3436.jpeg;chest_xray\train\PNEUMONIA\person1349_bacteria_3437.jpeg,train,PNEUMONIA
d27eeee3cb7d091ed7dc9532c89fb67a1567777e6ec07f4f506d57c1679af6b4,2,chest_xray\train\PNEUMONIA\person401_virus_797.jpeg;chest_xray\train\PNEUMONIA\person401_virus_798.jpeg,train,PNEUMONIA
d33d41ad42d62152689b5e5939ee03a94fd827c707e47fb451364c1a32adce72,2,chest_xray\test\NORMAL\NORMAL2-IM-0246-0001-0001.jpeg;chest_xray\test\NORMAL\NORMAL2-IM-0246-0001-0002.jpeg,test,NORMAL
d53c4dc3d0719f305dc7c5ab83a2cc746869d1cb78c5ad0088f0202e5129ae8d,2,chest_xray\train\PNEUMONIA\person1481_bacteria_3862.jpeg;chest_xray\train\PNEUMONIA\person1481_bacteria_3863.jpeg,train,PNEUMONIA
d77e4825fff27bbc2cc15a81dcba699ed8178cd220da72e37872524314fcf8ad,2,chest_xray\train\PNEUMONIA\person1343_bacteria_3413.jpeg;chest_xray\train\PNEUMONIA\person1343_bacteria_3414.jpeg,train,PNEUMONIA
dfb4e7b7b96746cde5796d473f1667680020b2ca38cc7d69757c7a3f7e2a7f90,2,chest_xray\test\PNEUMONIA\person134_bacteria_643.jpeg;chest_xray\test\PNEUMONIA\person134_bacteria_644.jpeg,test,PNEUMONIA
e324d8180008b810b79ccda935c21c2f5c82a12a5bd413fc14ad27df26e062cc,2,chest_xray\train\PNEUMONIA\person1430_bacteria_3695.jpeg;chest_xray\train\PNEUMONIA\person1430_bacteria_3696.jpeg,train,PNEUMONIA
f4714afae1b673b75ef83bef2ca941bd65b5d6c5c6820aaab15797a693751fbf,2,chest_xray\train\PNEUMONIA\person688_virus_1281.jpeg;chest_xray\train\PNEUMONIA\person688_virus_1282.jpeg,train,PNEUMONIA
fae2085830a4c703c36348b3ccc2a5ddfd741c86f12dbef48d4a8a31726ae773,2,chest_xray\test\NORMAL\NORMAL2-IM-0095-0001.jpeg;chest_xray\test\NORMAL\NORMAL2-IM-0096-0001.jpeg,test,NORMAL
